sample_index,time_s,voltage_mV
290,0.58,2.75846
291,0.582,2.7641
292,0.584,2.76249
293,0.586,2.76652
294,0.588,2.75363
295,0.59,2.75604
296,0.592,2.75363
297,0.594,2.75121
298,0.596,2.75524
299,0.598,2.75363
300,0.6,2.75121
301,0.602,2.75121
302,0.604,2.73348
303,0.606,2.7359
304,0.608,2.73348
305,0.61,2.73106
306,0.612,2.71978
307,0.614,2.69238
308,0.616,2.71092
309,0.618,2.71414
310,0.62,2.70366
311,0.622,2.69641
312,0.624,2.70286
313,0.626,2.68029
314,0.628,2.67626
315,0.63,2.6811
316,0.632,2.6811
317,0.634,2.67546
318,0.636,2.67949
319,0.638,2.67304
320,0.64,2.67385
321,0.642,2.66659
322,0.644,2.65853
323,0.646,2.66015
324,0.648,2.64242
325,0.65,2.64484
326,0.652,2.64484
327,0.654,2.63758
328,0.656,2.64322
329,0.658,2.62791
330,0.66,2.61421
331,0.662,2.61502
332,0.664,2.60293
333,0.666,2.60374
334,0.668,2.59004
335,0.67,2.59326
336,0.672,2.5852
337,0.674,2.59084
338,0.676,2.60212
339,0.678,2.58923
340,0.68,2.58762
341,0.682,2.5852
342,0.684,2.5707
343,0.686,2.56586
344,0.688,2.56183
345,0.69,2.557
346,0.692,2.56022
347,0.694,2.56505
348,0.696,2.557
349,0.698,2.557
350,0.7,2.55055
351,0.702,2.55136
352,0.704,2.55619
353,0.706,2.53927
354,0.708,2.5304
355,0.71,2.52879
356,0.712,2.5304
357,0.714,2.5304
358,0.716,2.53443
359,0.718,2.503
360,0.72,2.50784
361,0.722,2.50542
362,0.724,2.49656
363,0.726,2.50462
364,0.728,2.49333
365,0.73,2.49333
366,0.732,2.49172
367,0.734,2.49011
368,0.736,2.48366
369,0.738,2.49011
370,0.74,2.47963
371,0.742,2.48205
372,0.744,2.48366
373,0.746,2.50139
374,0.748,2.47158
375,0.75,2.47641
376,0.752,2.46513
377,0.754,2.47077
378,0.756,2.46513
379,0.758,2.45868
380,0.76,2.45626
381,0.762,2.45143
382,0.764,2.44821
383,0.766,2.44821
384,0.768,2.44982
385,0.77,2.44659
386,0.772,2.43612
387,0.774,2.4337
388,0.776,2.44659
389,0.778,2.42161
390,0.78,2.44498
391,0.782,2.4474
392,0.784,2.4474
393,0.786,2.44982
394,0.788,2.44982
395,0.79,2.44901
396,0.792,2.45304
397,0.794,2.44821
398,0.796,2.45143
399,0.798,2.45062
400,0.8,2.44256
401,0.802,2.43853
402,0.804,2.45223
403,0.806,2.45143
404,0.808,2.43612
405,0.81,2.45385
406,0.812,2.44498
407,0.814,2.44337
408,0.816,2.45062
409,0.818,2.44095
410,0.82,2.44256
411,0.822,2.43612
412,0.824,2.43289
413,0.826,2.43209
414,0.828,2.44498
415,0.83,2.44982
416,0.832,2.43451
417,0.834,2.42806
418,0.836,2.45546
419,0.838,2.45304
420,0.84,2.42886
421,0.842,2.45385
422,0.844,2.45143
423,0.846,2.45868
424,0.848,2.44579
425,0.85,2.45385
426,0.852,2.45465
427,0.854,2.45304
428,0.856,2.44901
429,0.858,2.43853
430,0.86,2.44095
431,0.862,2.43451
432,0.864,2.44176
433,0.866,2.44176
434,0.868,2.43612
435,0.87,2.45304
436,0.872,2.43451
437,0.874,2.43612
438,0.876,2.44015
439,0.878,2.42564
440,0.88,2.43531
441,0.882,2.43209
442,0.884,2.43209
443,0.886,2.43289
444,0.888,2.43451
445,0.89,2.44579
446,0.892,2.44579
447,0.894,2.43612
448,0.896,2.44418
449,0.898,2.44579
450,0.9,2.43934
451,0.902,2.43451
452,0.904,2.43773
453,0.906,2.44176
454,0.908,2.43773
455,0.91,2.41919
456,0.912,2.41436
457,0.914,2.43048
458,0.916,2.43048
459,0.918,2.41678
460,0.92,2.42725
461,0.922,2.43209
462,0.924,2.44498
463,0.926,2.42564
464,0.928,2.44498
465,0.93,2.43934
466,0.932,2.41839
467,0.934,2.43209
468,0.936,2.46513
469,0.938,2.47399
470,0.94,2.45868
471,0.942,2.45385
472,0.944,2.45304
473,0.946,2.44579
474,0.948,2.43612
475,0.95,2.44418
476,0.952,2.44821
477,0.954,2.43934
478,0.956,2.43289
479,0.958,2.43048
480,0.96,2.44256
481,0.962,2.45385
482,0.964,2.44821
483,0.966,2.43451
484,0.968,2.45385
485,0.97,2.44337
486,0.972,2.43048
487,0.974,2.43048
488,0.976,2.44256
489,0.978,2.44418
490,0.98,2.4474
491,0.982,2.44659
492,0.984,2.45143
493,0.986,2.45626
494,0.988,2.42806
495,0.99,2.43612
496,0.992,2.44256
497,0.994,2.45143
498,0.996,2.46593
499,0.998,2.44982
500,1.0,2.44901
501,1.002,2.44901
502,1.004,2.45304
503,1.006,2.44982
504,1.008,2.43209
505,1.01,2.42484
506,1.012,2.44095
507,1.014,2.45304
508,1.016,2.42806
509,1.018,2.42886
510,1.02,2.42564
511,1.022,2.4063
512,1.024,2.40388
513,1.026,2.40872
514,1.028,2.4063
515,1.03,2.41114
516,1.032,2.42403
517,1.034,2.44982
518,1.036,2.45385
519,1.038,2.41516
520,1.04,2.42484
521,1.042,2.42403
522,1.044,2.44579
523,1.046,2.43692
524,1.048,2.45223
525,1.05,2.40711
526,1.052,2.39099
527,1.054,2.42806
528,1.056,2.44418
529,1.058,2.43289
530,1.06,2.42
531,1.062,2.39985
532,1.064,2.42806
533,1.066,2.4474
534,1.068,2.42081
535,1.07,2.41033
536,1.072,2.39905
537,1.074,2.40549
538,1.076,2.42081
539,1.078,2.44015
540,1.08,2.45868
541,1.082,2.44821
542,1.084,2.45788
543,1.086,2.42806
544,1.088,2.43209
545,1.09,2.42564
546,1.092,2.42806
547,1.094,2.45788
548,1.096,2.46593
549,1.098,2.42161
550,1.1,2.42161
551,1.102,2.44256
552,1.104,2.43853
553,1.106,2.43451
554,1.108,2.43048
555,1.11,2.43048
556,1.112,2.43048
557,1.114,2.41275
558,1.116,2.39824
559,1.118,2.40952
560,1.12,2.40066
561,1.122,2.40308
562,1.124,2.41033
563,1.126,2.41597
564,1.128,2.40952
565,1.13,2.41516
566,1.132,2.40872
567,1.134,2.40872
568,1.136,2.42161
569,1.138,2.41275
570,1.14,2.43451
571,1.142,2.41839
572,1.144,2.41516
573,1.146,2.42081
574,1.148,2.42725
575,1.15,2.44659
576,1.152,2.43451
577,1.154,2.43048
578,1.156,2.44095
579,1.158,2.41516
580,1.16,2.40872
581,1.162,2.40952
582,1.164,2.40227
583,1.166,2.40549
584,1.168,2.39744
585,1.17,2.39905
586,1.172,2.38938
587,1.174,2.41275
588,1.176,2.40952
589,1.178,2.38857
590,1.18,2.40147
591,1.182,2.41033
592,1.184,2.41678
593,1.186,2.4063
594,1.188,2.39744
595,1.19,2.4063
596,1.192,2.41758
597,1.194,2.42
598,1.196,2.42
599,1.198,2.40469
600,1.2,2.40469
601,1.202,2.40066
602,1.204,2.40549
603,1.206,2.41275
604,1.208,2.40872
605,1.21,2.41033
606,1.212,2.41839
607,1.214,2.42403
608,1.216,2.39905
609,1.218,2.40549
610,1.22,2.41919
611,1.222,2.40711
612,1.224,2.40872
613,1.226,2.4063
614,1.228,2.42161
615,1.23,2.41033
616,1.232,2.41919
617,1.234,2.41033
618,1.236,2.41033
619,1.238,2.42081
620,1.24,2.42886
621,1.242,2.41919
622,1.244,2.42081
623,1.246,2.41919
624,1.248,2.42081
625,1.25,2.42564
626,1.252,2.42564
627,1.254,2.42161
628,1.256,2.42081
629,1.258,2.42484
630,1.26,2.41194
631,1.262,2.39663
632,1.264,2.40066
633,1.266,2.40227
634,1.268,2.40227
635,1.27,2.39905
636,1.272,2.39502
637,1.274,2.40308
638,1.276,2.3926
639,1.278,2.40549
640,1.28,2.39421
641,1.282,2.40147
642,1.284,2.40147
643,1.286,2.40227
644,1.288,2.41678
645,1.29,2.41516
646,1.292,2.41114
647,1.294,2.41275
648,1.296,2.42
649,1.298,2.42161
650,1.3,2.42645
651,1.302,2.42725
652,1.304,2.42
653,1.306,2.41597
654,1.308,2.39421
655,1.31,2.40227
656,1.312,2.4063
657,1.314,2.41597
658,1.316,2.40469
659,1.318,2.40711
660,1.32,2.40227
661,1.322,2.40952
662,1.324,2.4063
663,1.326,2.41033
664,1.328,2.40711
665,1.33,2.40469
666,1.332,2.40308
667,1.334,2.41033
668,1.336,2.4063
669,1.338,2.41839
670,1.34,2.41033
671,1.342,2.41678
672,1.344,2.41919
673,1.346,2.41839
674,1.348,2.41114
675,1.35,2.42
676,1.352,2.43128
677,1.354,2.42161
678,1.356,2.41516
679,1.358,2.42081
680,1.36,2.41758
681,1.362,2.41919
682,1.364,2.41194
683,1.366,2.4063
684,1.368,2.40791
685,1.37,2.40388
686,1.372,2.40872
687,1.374,2.40147
688,1.376,2.40227
689,1.378,2.40872
690,1.38,2.41275
691,1.382,2.41194
692,1.384,2.40872
693,1.386,2.41355
694,1.388,2.40872
695,1.39,2.41275
696,1.392,2.40711
697,1.394,2.40952
698,1.396,2.41597
699,1.398,2.41516
700,1.4,2.40711
701,1.402,2.41919
702,1.404,2.43451
703,1.406,2.43209
704,1.408,2.43451
705,1.41,2.42242
706,1.412,2.40872
707,1.414,2.41114
708,1.416,2.39905
709,1.418,2.39985
710,1.42,2.40227
711,1.422,2.38857
712,1.424,2.38696
713,1.426,2.38535
714,1.428,2.38615
715,1.43,2.38696
716,1.432,2.37326
